Job Title,Company,Location,Required Skills,Years Experience,Job Description,URL
Machine Learning Engineer,Google DeepMind,New York NY (Hybrid),"Python, TensorFlow, PyTorch, distributed training, ML pipelines",2,"Design and implement scalable ML systems for production. Work on model training, evaluation, and deployment. Collaborate with research teams to move models from prototype to product. Experience with LLMs and foundation models preferred. Strong software engineering fundamentals required. CI/CD and MLOps knowledge essential.",https://deepmind.google/about/careers/
AI Research Scientist,OpenAI,San Francisco CA (Hybrid),"Python, PyTorch, transformers, RLHF, LLMs, NLP",3,Conduct research on large language models and alignment techniques. Implement and evaluate novel architectures. Work closely with safety and policy teams. Publish findings in top-tier venues. Experience with RLHF and preference optimization strongly preferred. Strong mathematical foundations required.,https://openai.com/careers/
ML Engineer - Generative AI,Microsoft Azure AI,Redmond WA (Hybrid),"Python, Azure ML, LangChain, RAG, prompt engineering, Docker",2,Build GenAI solutions on Azure infrastructure. Design RAG pipelines and agentic workflows for enterprise customers. Collaborate across product and research. Proficiency in LangChain or LlamaIndex required. Experience deploying LLMs in production environments preferred. CI/CD and containerization skills needed.,https://careers.microsoft.com/v2/global/en/teams/ai.html
Data Scientist - ML Platform,Meta,Menlo Park CA (Hybrid),"Python, Spark, SQL, scikit-learn, PyTorch, feature engineering",2,"Build and maintain ML platform components supporting billions of users. Design feature pipelines, model evaluation frameworks, and experimentation infrastructure. Strong statistical background required. Experience with large-scale data processing preferred. Familiarity with A/B testing and causal inference a plus.",https://www.metacareers.com/areas-of-work/data-science/
Applied ML Scientist,Amazon AWS,Seattle WA (Hybrid),"Python, ML modeling, NLP, SageMaker, distributed computing",2,Develop ML solutions for AWS services. Own model development from data collection to deployment. Partner with product and engineering teams. Experience with NLP and LLMs is a strong plus. SageMaker or equivalent MLOps tooling preferred. Publication record or open-source contributions valued.,https://www.amazon.jobs/en/teams/aws-ai
AI/ML Engineer,Apple,Cupertino CA (On-site),"Python, CoreML, PyTorch, on-device ML, Swift",3,Work on on-device AI features across Apple products. Optimize models for latency and memory on Apple Silicon. Collaborate with hardware and software teams. Experience with model compression and quantization required. Strong understanding of real-time inference constraints preferred.,https://jobs.apple.com/en-us/search?team=machine-learning-and-ai
Generative AI Engineer,Anthropic,San Francisco CA (Hybrid),"Python, LLMs, prompt engineering, RLHF, safety evaluation",2,Build systems that improve Claude's capabilities and safety. Implement evaluation harnesses and red-teaming pipelines. Develop tooling for preference optimization and instruction tuning. Strong understanding of LLM internals required. Research engineering background preferred. Interest in AI safety essential.,https://www.anthropic.com/careers
Data Scientist - NLP,LinkedIn,Sunnyvale CA (Hybrid),"Python, NLP, transformers, SQL, A/B testing, feature engineering",2,"Develop NLP models to improve search, recommendations, and content understanding. Run experiments and evaluate model impact. Partner with product teams on roadmap decisions. Strong statistical modeling skills required. Experience with transformer-based models and large text corpora preferred.",https://careers.linkedin.com/teams/data
MLOps Engineer,Databricks,San Francisco CA (Remote),"Python, MLflow, Spark, Docker, Kubernetes, CI/CD, cloud platforms",2,"Build and maintain ML infrastructure supporting model training, versioning, and deployment. Design observability and monitoring pipelines. Support data scientists with scalable tooling. Experience with MLflow and Spark required. Kubernetes and multi-cloud deployment experience preferred.",https://www.databricks.com/company/careers/open-positions
ML Research Engineer,NVIDIA,Santa Clara CA (Hybrid),"Python, CUDA, PyTorch, deep learning, GPU optimization",3,Develop ML algorithms optimized for GPU hardware. Implement and benchmark novel architectures. Collaborate with research scientists on applied projects. Strong understanding of GPU programming required. Experience with distributed training across multi-GPU clusters preferred.,https://www.nvidia.com/en-us/about-nvidia/careers/
